Conference Committee Group,Conference Committee,Name,Email,Status,Contacted,Easychair,country,affiliation,image
GENERAL CHAIRS,,Sahar Vahdati,,,,,"Hannover, Germany",LUH/TIB - Leibniz Information Centre for Science and Technology,Sahar_Vahdati.png
GENERAL CHAIRS,,Angelo Salatino,,,,,"Milton Keynes, UK","KMi, The Open University",Salatino_Angelo.png
LOCAL ORGANISERS,,Pieter Colpaert,,,,,"Ghent, Belgium","Ghent University–IDLab–imec",Pieter.jpg
LOCAL ORGANISERS,,Danica D'hont,,,,,"Ghent, Belgium","Ghent University–IDLab–imec",Danica.jpg
LOCAL ORGANISERS,,Femke Ongenae,,,,,"Ghent, Belgium","Ghent University–IDLab–imec",Femke_Ongenae.png
EVENT COORDINATORS,Senior Coordinator,Julia Holze,,,,,"Leipzig, Germany",Institute for Applied Informatics (InfAI),JuliaHolze.jpg
EVENT COORDINATORS,,Blerina Spahiu,,,,,"Milan, Italy",University of Milan - Bicocca,Blerina_Spahiu.jpeg
RESEARCH AND INNOVATION CHAIRS,,Cogan Shimizu,,,,,"Dayton OH, USA",Wright State University,Cogan_Shimizu.jpg
RESEARCH AND INNOVATION CHAIRS,,Annette ten Teije,,,,,"Amsterdam, Netherlands",VU University Amsterdam,Annette_Ten_Teije.jpeg
WORKSHOP AND TUTORIALS CHAIRS,,Rosa Filgueira,,,,,"Edinburgh, UK","EPCC, University of Edinburgh",Filgueira_Rosa.png
WORKSHOP AND TUTORIALS CHAIRS,,Beyza Yaman,,,,,"Dublin, Ireland",Trinity College Dublin,Beyza_Yaman.jpg
POSTER AND DEMO CHAIRS,,Genet Asefa Gesese,,,,,"Karlsruhe, Germany","FIZ Karlsruhe, Karlsruhe Institute of Technology (KIT)",Gesese_Genet_Asefa.jpg
POSTER AND DEMO CHAIRS,,Eleni Ilkou,,,,,"Hannover, Germany",TIB - German National Library of Science and Technology,Ilkou_Eleni.jpg
INDUSTRY CHAIRS,,Marco Brattinga,,,,,"Netherlands",Sopra Steria,Marco_Brattinga.jpg
INDUSTRY CHAIRS,,Aad Versteden,,,,,"Belgium",redpencil.io,Aad_Versteden.jpg
INDUSTRY CHAIRS,,Kathrin Füllenbach,,,,,"Netherlands","TDCC-NES, TU Delft",Fuellenbach_Kathrin.jpg
PROGRAM CHAIRS,,Francesco Osborne,,,,,"Milton Keynes, UK","KMi, The Open University",Francesco_Osborne.jpeg
PROGRAM CHAIRS,,Anastasia Dimou,,,,,"Leuven, Belgium",KU Leuven,Anastasia_Dimou.jpg
INTERACTIVE SESSION CHAIRS,,Ute John,,,,,"Wendland, Germany",GfWM,Ute_John.jpg
INTERACTIVE SESSION CHAIRS,,Christian Dirschl,,,,,"Munich, Germany",Wolters Kluwer,Christian_Dirschl.jpg
SPONSORING CHAIRS,,Martin Kaltenböck,,,,,"Vienna, Austria",Semantic Web Comany,Martin_Kaltenbock.jpeg
SPONSORING CHAIRS,,Ernesto Jiménez-Ruiz,,,,,"London, UK","City St George's, University of London",Ernesto_Jimenez-Ruiz.jpg
SPONSORING CHAIRS,,Alba Morales Tirado,,,,,"Milton Keynes, UK","KMi, The Open University",Alba_Morales_Tirado.jpg
PROCEEDINGS CHAIRS,,Tassilo Pellegrini,,,,,"Austria",UAS St. Pölten,Tassilo_Pellegrini.jpeg
PROCEEDINGS CHAIRS,,Giray Havur,,,,,"Austria",UAS St. Pölten,giray.jpeg
PUBLICITY CHAIRS,,Daniel Dobriy,,,,,"Vienna, Austria","Vienna University of Economics and Business",Daniel_Dobriy.png
PUBLICITY CHAIRS,,Tilahun Abedissa Taffa,,,,,"Lüneburg, Germany","AIX, Leuphana University Lüneburg",Tilahun_Abedissa.jpg
WEB CHAIRS,,Sanaz Alipour,,,,,"Tabriz, Iran",Nature Inspired Machine Intelligence - The Institute for Applied Computer Science (NIMI-InfAI),SanazAlpr.jpg
WEB CHAIRS,,Martino Pulici,,,,,"Stuttgart, Germany",Bosch Center for Artificial Intelligence / LMU München,Martino_Pulici.jpg
WEB CHAIRS,,Elena Lippolis,,,,,"Milan, Italy",Polytechnic of Milan,Elena_Lippolis.jpeg
INITIATIVES CHAIRS,Digital Content Chair,Mélisa Machuret,,,,,"Bogotá, Colombia",Prompt-That,Melisa_Machuret.jpg
INITIATIVES CHAIRS,Women in AI Chair,Simona Claudia Motogna,,,,,"Romania",Babeș-Bolyai University,Simona_Motogna.jpg
INITIATIVES CHAIRS,AI for Good Chair,Daniel Mietchen,,,,,"Berlin, Germany","FIZ Karlsruhe / zbMATH",Daniel_Mietchen.jpg
